idx,alpha,mu,omega,loglike
48,0.01,0.16,0.9230769230769231,-inf
49,0.01,0.16,0.9615384615384616,-inf
50,0.01,0.24,0.038461538461538464,-inf
51,0.01,0.24,0.07692307692307693,-inf
52,0.01,0.24,0.11538461538461539,-inf
53,0.01,0.24,0.15384615384615385,-inf
54,0.01,0.24,0.19230769230769232,-inf
55,0.01,0.24,0.23076923076923078,-inf
56,0.01,0.24,0.2692307692307693,-inf
57,0.01,0.24,0.3076923076923077,-inf
58,0.01,0.24,0.34615384615384615,-inf
59,0.01,0.24,0.38461538461538464,-inf
60,0.01,0.24,0.42307692307692313,-inf
61,0.01,0.24,0.46153846153846156,-inf
62,0.01,0.24,0.5,-inf
63,0.01,0.24,0.5384615384615385,-inf
64,0.01,0.24,0.576923076923077,-inf
65,0.01,0.24,0.6153846153846154,-inf
66,0.01,0.24,0.6538461538461539,-inf
67,0.01,0.24,0.6923076923076923,-inf
68,0.01,0.24,0.7307692307692308,-inf
69,0.01,0.24,0.7692307692307693,-inf
70,0.01,0.24,0.8076923076923077,-inf
71,0.01,0.24,0.8461538461538463,-inf
72,0.01,0.24,0.8846153846153847,-inf
73,0.01,0.24,0.9230769230769231,-inf
74,0.01,0.24,0.9615384615384616,-inf
75,0.01,0.32,0.038461538461538464,1.4480694097861998e+21
76,0.01,0.32,0.07692307692307693,1.4203992936756355e+21
77,0.01,0.32,0.11538461538461539,1.4480694097861998e+21
78,0.01,0.32,0.15384615384615385,1.4480694097861998e+21
79,0.01,0.32,0.19230769230769232,1.4203992936756355e+21
80,0.01,0.32,0.23076923076923078,1.4203992936756355e+21
81,0.01,0.32,0.2692307692307693,1.4480694097861998e+21
82,0.01,0.32,0.3076923076923077,1.4480694097861998e+21
83,0.01,0.32,0.34615384615384615,1.4203992936756355e+21
84,0.01,0.32,0.38461538461538464,-inf
85,0.01,0.32,0.42307692307692313,-inf
86,0.01,0.32,0.46153846153846156,1.4480694097861998e+21
87,0.01,0.32,0.5,-inf
88,0.01,0.32,0.5384615384615385,-inf
89,0.01,0.32,0.576923076923077,-inf
90,0.01,0.32,0.6153846153846154,-inf
91,0.01,0.32,0.6538461538461539,-inf
92,0.01,0.32,0.6923076923076923,-inf
93,0.01,0.32,0.7307692307692308,-inf
94,0.01,0.32,0.7692307692307693,-inf
95,0.01,0.32,0.8076923076923077,-inf
96,0.01,0.32,0.8461538461538463,-inf
97,0.01,0.32,0.8846153846153847,-inf
98,0.01,0.32,0.9230769230769231,-inf
99,0.01,0.32,0.9615384615384616,-inf
100,0.01,0.4,0.038461538461538464,1.4203992936756355e+21
101,0.01,0.4,0.07692307692307693,1.4480694097861998e+21
102,0.01,0.4,0.11538461538461539,1.4203992936756355e+21
103,0.01,0.4,0.15384615384615385,1.4480694097861998e+21
104,0.01,0.4,0.19230769230769232,1.4203992936756355e+21
105,0.01,0.4,0.23076923076923078,1.4480694097861998e+21
106,0.01,0.4,0.2692307692307693,1.4480694097861998e+21
107,0.01,0.4,0.3076923076923077,1.4480694097861998e+21
108,0.01,0.4,0.34615384615384615,1.4203992936756355e+21
109,0.01,0.4,0.38461538461538464,1.4203992936756355e+21
110,0.01,0.4,0.42307692307692313,1.4203992936756355e+21
111,0.01,0.4,0.46153846153846156,1.4203992936756355e+21
112,0.01,0.4,0.5,-inf
113,0.01,0.4,0.5384615384615385,-inf
114,0.01,0.4,0.576923076923077,-inf
115,0.01,0.4,0.6153846153846154,-inf
116,0.01,0.4,0.6538461538461539,-inf
117,0.01,0.4,0.6923076923076923,-inf
118,0.01,0.4,0.7307692307692308,-inf
119,0.01,0.4,0.7692307692307693,-inf
120,0.01,0.4,0.8076923076923077,-inf
121,0.01,0.4,0.8461538461538463,-inf
122,0.01,0.4,0.8846153846153847,-inf
123,0.01,0.4,0.9230769230769231,-inf
124,0.01,0.4,0.9615384615384616,-inf
125,0.01,0.48,0.038461538461538464,1.4203992936756355e+21
126,0.01,0.48,0.07692307692307693,1.4203992936756355e+21
127,0.01,0.48,0.11538461538461539,1.4203992936756355e+21
128,0.01,0.48,0.15384615384615385,1.4203992936756355e+21
129,0.01,0.48,0.19230769230769232,1.4203992936756355e+21
130,0.01,0.48,0.23076923076923078,1.4480694097861998e+21
131,0.01,0.48,0.2692307692307693,1.4203992936756355e+21
132,0.01,0.48,0.3076923076923077,1.4480694097861998e+21
133,0.01,0.48,0.34615384615384615,1.4480694097861998e+21
134,0.01,0.48,0.38461538461538464,1.4203992936756355e+21
135,0.01,0.48,0.42307692307692313,1.4203992936756355e+21
136,0.01,0.48,0.46153846153846156,1.4203992936756355e+21
137,0.01,0.48,0.5,1.4203992936756355e+21
138,0.01,0.48,0.5384615384615385,-inf
139,0.01,0.48,0.576923076923077,1.4480694097861998e+21
140,0.01,0.48,0.6153846153846154,-inf
141,0.01,0.48,0.6538461538461539,-inf
142,0.01,0.48,0.6923076923076923,-inf
143,0.01,0.48,0.7307692307692308,-inf
144,0.01,0.48,0.7692307692307693,-inf
145,0.01,0.48,0.8076923076923077,-inf
146,0.01,0.48,0.8461538461538463,-inf
147,0.01,0.48,0.8846153846153847,-inf
148,0.01,0.48,0.9230769230769231,-inf
149,0.01,0.48,0.9615384615384616,-inf
150,0.01,0.56,0.038461538461538464,1.4480694097861998e+21
151,0.01,0.56,0.07692307692307693,1.4480694097861998e+21
152,0.01,0.56,0.11538461538461539,1.4203992936756355e+21
153,0.01,0.56,0.15384615384615385,1.4203992936756355e+21
154,0.01,0.56,0.19230769230769232,1.4203992936756355e+21
155,0.01,0.56,0.23076923076923078,1.4480694097861998e+21
156,0.01,0.56,0.2692307692307693,1.4203992936756355e+21
157,0.01,0.56,0.3076923076923077,1.4203992936756355e+21
158,0.01,0.56,0.34615384615384615,1.4480694097861998e+21
159,0.01,0.56,0.38461538461538464,1.4203992936756355e+21
160,0.01,0.56,0.42307692307692313,1.4203992936756355e+21
